classifier,In taxon,Group,ratio,dataset
std_R1,0,K,0.0,plant_associated
std_R1,1748844,O,0.006865672596882193,plant_associated
std_R1,921950,P,0.0036194233737803583,plant_associated
std_R1,26372,R,0.00010353211477123013,plant_associated
std_R1,56515054,S,0.22186876448620765,plant_associated
std_R1,74127470,U,0.29101219974749426,plant_associated
std_1-step,3443080,C,0.013516963208195322,plant_associated
std_1-step,1646242,D,0.006462874096967216,plant_associated
std_1-step,4054779,F,0.015918392416198003,plant_associated
std_1-step,116487158,G,0.4573093360924624,plant_associated
std_1-step,0,K,0.0,plant_associated
std_1-step,2318899,O,0.00910361434138066,plant_associated
std_1-step,1535841,P,0.006029458011616898,plant_associated
std_1-step,170856,R,0.0006707524268676359,plant_associated
std_1-step,53531593,S,0.21015618953294324,plant_associated
std_1-step,71534447,U,0.28083241987336865,plant_associated
kraken,3666735,C,0.013635958402389963,plant_associated
kraken,1759707,D,0.006544048438841213,plant_associated
kraken,4317610,F,0.016056450863709246,plant_associated
kraken,123321964,G,0.45861322708214053,plant_associated
kraken,0,K,0.0,plant_associated
kraken,2440606,O,0.00907619500526309,plant_associated
kraken,1635409,P,0.0060818055013231575,plant_associated
kraken,183984,R,0.00068420493182772,plant_associated
kraken,55947844,S,0.20806043346121356,plant_associated
kraken,75628032,U,0.2812476763132915,plant_associated
rspc_gold,78888,C,0.0023666977474250373,Assorted_Genomes_mbarc_225
rspc_gold,75621,D,0.0022686853559226844,Assorted_Genomes_mbarc_225
rspc_gold,2638431,F,0.07915486137861764,Assorted_Genomes_mbarc_225
rspc_gold,2672993,G,0.08019174667861896,Assorted_Genomes_mbarc_225
rspc_gold,0,K,0.0,Assorted_Genomes_mbarc_225
rspc_gold,25151,O,0.000754548410981228,Assorted_Genomes_mbarc_225
rspc_gold,14111,P,0.0004233403295040399,Assorted_Genomes_mbarc_225
rspc_gold,33745,R,0.0010123747019427274,Assorted_Genomes_mbarc_225
rspc_gold,27658177,S,0.8297655562795733,Assorted_Genomes_mbarc_225
rspc_gold,135403,U,0.004062189117414465,Assorted_Genomes_mbarc_225
rspc_R100,78998,C,0.0023699978279470017,Assorted_Genomes_mbarc_225
rspc_R100,75658,D,0.0022697953830073453,Assorted_Genomes_mbarc_225
rspc_R100,2656229,F,0.07968881440707153,Assorted_Genomes_mbarc_225
rspc_R100,3409732,G,0.10229445598472603,Assorted_Genomes_mbarc_225
rspc_R100,0,K,0.0,Assorted_Genomes_mbarc_225
rspc_R100,28371,O,0.0008511507680787411,Assorted_Genomes_mbarc_225
rspc_R100,18612,P,0.0005583736243164333,Assorted_Genomes_mbarc_225
